it, ret_suc, ret_cum_suc, exp_suc, opt_len, dist_from_opt, len_mean, frames, rew_mean, score, ep, cells, arch_suc, policy_loss, value_loss, l2_loss, policy_entropy, approxkl, clipfrac, sil_pg_loss, sil_vf_loss, sil_loss, sil_entropy, sil_valid_min, sil_valid_max, sil_valid_mean, neglop_sil_min, neglop_sil_max, neglop_sil_mean, mean_val_pred, mean_sil_r, sil_frames, no_score_cells, cells_found_ret, cells_found_rand, cells_found_policy
6644, 0.0, 14.10011290494082, 0.015309672929714684, 23, 5, 500.0, 7657964, 0.0, 10.0, 24236, 38, 0.2017543859649123, -0.37289348, 0.00038139228, 1558.8318, 0.0057359394, 1.3576241e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0978668, 32.299286, 17.366987, 0.20140024, 0.0, 818, 38, 9, 5, 23
6645, 0.0, 14.100027402431607, 0.01518288474810214, 23, 5, 500.0, 7659116, 0.0, 10.0, 24240, 38, 0.2017543859649123, -0.376953, 0.00023494073, 1558.726, 0.008717961, 2.957895e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1587133, 63.35555, 14.94138, 0.54002684, 0.0, 1074, 38, 9, 5, 23
6646, 0.0, 14.1000060312459, 0.015120274914089347, 23, 5, 500.0, 7660268, 0.0, 10.0, 24241, 38, 0.2017543859649123, -0.37639162, 0.00024092974, 1558.5774, 0.0054799938, 2.0247505e-10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8385358, 63.38138, 16.659025, 0.7436001, 0.0, 830, 38, 9, 5, 23
6647, 0.0, 14.099963294202853, 0.015299026425591099, 23, 5, 500.0, 7661420, 0.0, 10.0, 24243, 38, 0.2017543859649123, -0.37422672, 0.0009732364, 1558.4233, 0.0064788423, 6.7760495e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.636154, 31.203876, 14.273961, 0.3226225, 0.0, 586, 38, 9, 5, 23
6648, 0.0, 14.099920564262815, 0.015309672929714684, 23, 5, 500.0, 7662572, 0.0, 10.0, 24245, 38, 0.2017543859649123, -0.37496, 0.0006337778, 1558.2859, 0.0010854036, 1.8071573e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0379825, 31.090649, 16.961264, 0.09317473, 0.0, 842, 38, 9, 5, 23
6649, 0.0, 14.09981377047678, 0.015120274914089347, 23, 5, 500.0, 7663724, 0.0, 10.0, 24250, 38, 0.2017543859649123, -0.37439469, 7.176035e-05, 1558.1432, 0.009387644, 1.4792653e-05, 0.001953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.4073277, 63.843403, 13.476809, 0.54939336, 0.0, 1098, 38, 9, 5, 23
6650, 0.0, 14.09981377047678, 0.015120274914089347, 23, 5, 500.0, 7664876, 0.0, 10.0, 24250, 38, 0.2017543859649123, -0.37512106, 0.00010751986, 1557.9954, 0.0014487343, 2.2813038e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.2566338, 63.728386, 15.901406, 0.69511396, 0.0, 354, 38, 9, 5, 23
6651, 0.0, 14.099749715497378, 0.015299026425591099, 23, 5, 500.0, 7666028, 0.0, 10.0, 24253, 38, 0.2017543859649123, -0.3747463, 0.0009525915, 1557.8519, 0.016154937, 8.293953e-06, 0.0009765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.7786062, 28.71541, 12.069652, 0.33101866, 0.0, 610, 38, 9, 5, 23
6652, 0.0, 14.099728367384953, 0.015309672929714684, 23, 5, 500.0, 7667180, 0.0, 10.0, 24254, 38, 0.2017543859649123, -0.37467486, 0.0007333854, 1557.7028, 0.0146227395, 1.1508191e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3501973, 28.167015, 14.660286, 0.14319374, 0.0, 866, 38, 9, 5, 23
6653, 0.0, 14.099621653418215, 0.01518288474810214, 23, 5, 500.0, 7668332, 0.0, 10.0, 24259, 38, 0.2017543859649123, -0.3761515, 2.650489e-05, 1557.5569, 0.0036933725, 6.629084e-09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.934073, 63.64398, 15.30994, 0.92620015, 0.0, 1122, 38, 9, 5, 23
6654, 0.0, 14.099621653418215, 0.01518288474810214, 23, 5, 500.0, 7669484, 0.0, 10.0, 24259, 38, 0.2017543859649123, -0.3738707, 0.00014779299, 1557.4146, 0.0033809517, 1.6544936e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.7792883, 63.65632, 14.173451, 0.70509815, 0.0, 378, 38, 9, 5, 23
6655, 0.0, 14.099557646306524, 0.015299026425591099, 23, 5, 500.0, 7670636, 0.0, 10.0, 24262, 38, 0.2017543859649123, -0.37392026, 0.0011048308, 1557.2797, 0.01991822, 5.999828e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.5985487, 25.501133, 11.04983, 0.3074678, 0.0, 634, 38, 9, 5, 23
6656, 0.0, 14.099536314146029, 0.015309672929714684, 23, 5, 500.0, 7671788, 0.0, 10.0, 24263, 38, 0.2017543859649123, -0.37468803, 0.00027523228, 1557.1544, 0.0064542484, 4.3487416e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.4572675, 24.80338, 12.348132, 0.0980103, 0.0, 890, 38, 9, 5, 23
6657, 0.0, 14.09942967990913, 0.01518288474810214, 23, 5, 500.0, 7672940, 0.0, 10.0, 24268, 38, 0.2017543859649123, -0.3743978, 0.0003838149, 1557.0312, 0.010786477, 2.6401594e-05, 0.001953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8592277, 63.59423, 12.47055, 1.0886779, 0.0, 1146, 38, 9, 5, 23
6658, 0.0, 14.09942967990913, 0.01518288474810214, 23, 5, 500.0, 7674092, 0.0, 10.0, 24268, 38, 0.2017543859649123, -0.3782866, 0.00097356044, 1556.9136, 0.0073270123, 6.8737445e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.972943, 63.55556, 12.268646, 0.76706225, 0.0, 402, 38, 9, 5, 23
6659, 0.0, 14.099344404385077, 0.015309672929714684, 23, 5, 500.0, 7675244, 0.0, 10.0, 24272, 38, 0.2017543859649123, -0.37282124, 0.0008593794, 1556.7913, 0.0060206065, 2.1159832e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.962253, 22.579039, 12.2845335, 0.27750027, 0.0, 658, 38, 9, 5, 23
6660, 0.0, 14.099323089927985, 0.016701461377870562, 23, 5, 500.0, 7676396, 0.0, 10.0, 24273, 38, 0.2017543859649123, -0.37393537, 3.5257817e-05, 1556.6666, 0.024159247, 1.5301971e-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1306043, 22.434443, 10.365259, 0.04322913, 0.0, 914, 38, 9, 5, 23
6661, 0.0, 14.0992378497887, 0.01518288474810214, 23, 5, 500.0, 7677548, 0.0, 10.0, 24277, 38, 0.2017543859649123, -0.37726232, 0.00052922196, 1556.5587, 0.038192596, 5.140087e-05, 0.005859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8985343, 63.960167, 11.160841, 1.1472825, 0.0, 670, 38, 9, 5, 23
6662, 0.0, 14.0992378497887, 0.01518288474810214, 23, 5, 500.0, 7678700, 0.0, 10.0, 24277, 38, 0.2017543859649123, -0.37467185, 0.001458045, 1556.4497, 0.008432959, 4.3156715e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.954761, 64.319595, 12.275723, 0.94950485, 0.0, 426, 38, 9, 5, 23
6663, 0.0, 14.099152637941376, 0.015309672929714684, 23, 5, 500.0, 7679852, 0.0, 10.0, 24281, 38, 0.2017543859649123, -0.3687816, 0.0019776593, 1556.3287, 0.028277915, 1.4021182e-05, 0.0009765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.9942653, 24.481237, 10.389087, 0.4851296, 0.0, 682, 38, 9, 5, 23
6664, 0.0, 14.09908874761401, 0.01518288474810214, 23, 5, 500.0, 7681004, 0.0, 10.0, 24284, 38, 0.2017543859649123, -0.37395868, 0.00038058107, 1556.1881, 0.013330129, 2.1031144e-07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.1401358, 64.66341, 12.079515, 0.5462166, 0.0, 938, 38, 9, 5, 23
