it, ret_suc, ret_cum_suc, exp_suc, opt_len, dist_from_opt, len_mean, frames, rew_mean, score, ep, cells, arch_suc, policy_loss, value_loss, l2_loss, policy_entropy, approxkl, clipfrac, sil_pg_loss, sil_vf_loss, sil_loss, sil_entropy, sil_valid_min, sil_valid_max, sil_valid_mean, neglop_sil_min, neglop_sil_max, neglop_sil_mean, mean_val_pred, mean_sil_r, sil_frames, no_score_cells, cells_found_ret, cells_found_rand, cells_found_policy
2879, 1.0, 8.11239211567719, 0.010574018126888218, 23, 1, 29.41, 3320684, 10.0, 10.0, 88123, 38, 0.12543200105526975, -0.2956163, 0.031152526, 1877.7511, 0.06695359, 0.0014815894, 0.0234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.997297, 27.43949, 21.095669, 12.197196, 0.0, 302, 38, 2, 4, 31
2880, 1.0, 8.11239514687225, 0.010518407212622089, 23, 1, 29.43, 3321836, 10.0, 10.0, 88161, 38, 0.12543200105526975, -0.32739756, 0.00070480444, 1877.8044, 0.02049694, 0.00040977512, 0.0087890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.98429, 27.60815, 22.037031, 13.265767, 0.0, 306, 38, 2, 4, 31
2881, 1.0, 8.112398414434063, 0.010967098703888335, 23, 1, 28.93, 3322988, 10.0, 10.0, 88202, 38, 0.12543200105526975, -0.3477003, 0.0005871486, 1877.8123, 0.017434388, 5.5252414e-05, 0.0029296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.976109, 27.709568, 22.08755, 13.392676, 0.0, 302, 38, 2, 4, 31
2882, 1.0, 8.112401519776238, 0.010515773660490736, 23, 1, 28.9, 3324140, 10.0, 10.0, 88241, 38, 0.12543200105526975, -0.34156406, 0.00015651896, 1877.749, 0.02017825, 0.00042321093, 0.0029296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.976078, 27.767761, 22.177135, 13.290227, 0.0, 300, 38, 2, 4, 31
2883, 1.0, 8.112404701883861, 0.010947997014182632, 23, 1, 28.92, 3325292, 10.0, 10.0, 88281, 38, 0.12543200105526975, -0.3557961, 0.00095034495, 1877.7124, 0.019335262, 0.00030397536, 0.00390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.974586, 27.796972, 22.140862, 13.164009, 0.0, 325, 38, 2, 4, 31
2884, 1.0, 8.112407642759443, 0.01092896174863388, 23, 1, 29.98, 3326444, 10.0, 10.0, 88318, 38, 0.12543200105526975, -0.34402856, 0.0002678071, 1877.6982, 0.017581463, 1.1956076e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.236391, 27.86697, 22.391527, 13.421842, 0.0, 291, 38, 2, 4, 31
2885, 1.0, 8.112410819305424, 0.01111934766493699, 23, 1, 30.03, 3327596, 10.0, 10.0, 88358, 38, 0.12543200105526975, -0.34750348, 0.0003037003, 1877.626, 0.019206073, 2.7180851e-05, 0.001953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.293865, 27.871296, 22.367235, 13.075362, 0.0, 315, 38, 2, 4, 31
2886, 1.0, 8.112413992967994, 0.010942551604078588, 23, 1, 30.02, 3328748, 10.0, 10.0, 88398, 38, 0.12543200105526975, -0.33823654, 0.0002553159, 1877.4968, 0.01589869, 0.00010238816, 0.00390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.325481, 27.847963, 22.454847, 13.454602, 0.0, 312, 38, 2, 4, 31
2887, 1.0, 8.112417084516563, 0.01074462768615692, 23, 1, 28.99, 3329900, 10.0, 10.0, 88437, 38, 0.12543200105526975, -0.33528402, 0.00026300168, 1877.3903, 0.017072996, 0.00023411584, 0.0048828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.229527, 27.813301, 22.477032, 13.0748825, 0.0, 307, 38, 2, 4, 31
2888, 1.0, 8.112420252495918, 0.010967098703888335, 23, 1, 28.94, 3331052, 10.0, 10.0, 88477, 38, 0.12543200105526975, -0.34788772, 0.00015254454, 1877.3295, 0.014958723, 0.00014062623, 0.0029296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.059093, 27.81891, 22.481821, 13.277168, 0.0, 302, 38, 2, 4, 31
2889, 1.0, 8.112423259416278, 0.010885700148441365, 23, 1, 29.36, 3332204, 10.0, 10.0, 88515, 38, 0.12543200105526975, -0.34789976, 0.0022077798, 1877.2632, 0.013261125, 9.782156e-05, 0.0068359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.939447, 27.877602, 22.522781, 13.330792, 0.0, 298, 38, 2, 4, 31
2890, 1.0, 8.112426500822185, 0.01093167701863354, 23, 1, 29.37, 3333356, 10.0, 10.0, 88556, 38, 0.12543200105526975, -0.3464587, 0.00032808437, 1877.1897, 0.013692853, 4.4798235e-05, 0.0029296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.83804, 27.905493, 22.493414, 13.163541, 0.0, 298, 38, 2, 4, 31
2891, 1.0, 8.112429581318212, 0.010688540889883172, 23, 1, 29.45, 3334508, 10.0, 10.0, 88595, 38, 0.12543200105526975, -0.34883317, 0.00027589125, 1877.1099, 0.013015272, 0.0003337012, 0.005859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.848785, 27.919401, 22.589842, 13.263275, 0.0, 293, 38, 2, 4, 31
2892, 1.0, 8.112432580211777, 0.010760760760760761, 23, 1, 28.96, 3335660, 10.0, 10.0, 88633, 38, 0.12543200105526975, -0.34376296, 0.000359721, 1877.0037, 0.011638789, 7.997385e-05, 0.0078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.86333, 27.93198, 22.567467, 13.253591, 0.0, 318, 38, 2, 4, 31
2893, 1.0, 8.112435891779082, 0.01073926073926074, 23, 1, 28.98, 3336812, 10.0, 10.0, 88675, 38, 0.12543200105526975, -0.33091372, 4.1509436e-05, 1876.8774, 0.012111279, 6.367694e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.914684, 27.954727, 22.571476, 13.2445345, 0.0, 314, 38, 2, 4, 31
2894, 1.0, 8.112438885249022, 0.01071517567904311, 23, 1, 28.96, 3337964, 10.0, 10.0, 88713, 38, 0.12543200105526975, -0.3350854, 0.0005257527, 1876.7593, 0.011336628, 0.00028789428, 0.0048828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.975765, 27.951906, 22.598585, 13.353706, 0.0, 309, 38, 2, 4, 31
2895, 1.0, 8.11244211216208, 0.010587345601209983, 23, 1, 28.99, 3339116, 10.0, 10.0, 88754, 38, 0.12543200105526975, -0.34901023, 0.00011130285, 1876.6134, 0.012136074, 4.4409742e-05, 0.0029296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 17.097698, 27.941025, 22.598284, 13.199405, 0.0, 304, 38, 2, 4, 31
